ID,ID_ESTABELECIMENTO_ORIGINAL,TIPO_ESTABELECIMENTO,NOME,HORA_ABERTURA,HORA_FECHAMENTO,CEP,RUA,BAIRRO,ESTADO,COMPLEMENTO,DATE_FROM,DATE_TO,VERSION
0,0,Sem estabelecimento,Sem estabelecimento,0 days 00:00:00,0 days 00:00:00,0,Sem rua,sem bairro,sem estado,sem complemento,1970-01-01 00:00:01,2038-01-01,1
1,82,Restaurante,Subway,0 days 08:00:00,0 days 17:00:00,11628142,rua 1562,bairro 1562,estado 1562,complemento 1562,1970-01-01 00:00:00,2038-01-01,1
2,294,Restaurante,Domino's Pizza,0 days 08:00:00,0 days 17:00:00,51206969,rua 2739,bairro 2739,estado 2739,complemento 2739,1970-01-01 00:00:00,2038-01-01,1
3,313,Restaurante,McDonald's,0 days 08:00:00,0 days 17:00:00,84769030,rua 3550,bairro 3550,estado 3550,complemento 3550,1970-01-01 00:00:00,2038-01-01,1
4,373,Restaurante,Great Wall Chinese Restaurant,0 days 08:00:00,0 days 17:00:00,29734917,rua 817,bairro 817,estado 817,complemento 817,1970-01-01 00:00:00,2038-01-01,1
5,406,Restaurante,Wendy's,0 days 08:00:00,0 days 17:00:00,28968580,rua 2965,bairro 2965,estado 2965,complemento 2965,1970-01-01 00:00:00,2038-01-01,1
6,437,Restaurante,Taco Bell,0 days 08:00:00,0 days 17:00:00,76046703,rua 1417,bairro 1417,estado 1417,complemento 1417,1970-01-01 00:00:00,2038-01-01,1
7,495,Restaurante,Moe's Southwest Grill,0 days 08:00:00,0 days 17:00:00,18297009,rua 269,bairro 269,estado 269,complemento 269,1970-01-01 00:00:00,2038-01-01,1
8,650,Restaurante,Panera Bread,0 days 08:00:00,0 days 17:00:00,26587570,rua 1119,bairro 1119,estado 1119,complemento 1119,1970-01-01 00:00:00,2038-01-01,1
9,669,Restaurante,Wendy's,0 days 08:00:00,0 days 17:00:00,46477652,rua 4160,bairro 4160,estado 4160,complemento 4160,1970-01-01 00:00:00,2038-01-01,1
10,679,Restaurante,Taco Bell,0 days 08:00:00,0 days 17:00:00,71900143,rua 1932,bairro 1932,estado 1932,complemento 1932,1970-01-01 00:00:00,2038-01-01,1
11,807,Restaurante,Chipotle Mexican Grill,0 days 08:00:00,0 days 17:00:00,16016259,rua 1443,bairro 1443,estado 1443,complemento 1443,1970-01-01 00:00:00,2038-01-01,1
12,841,Restaurante,SUBWAY,0 days 08:00:00,0 days 17:00:00,73281273,rua 104,bairro 104,estado 104,complemento 104,1970-01-01 00:00:00,2038-01-01,1
13,918,Restaurante,Chipotle Mexican Grill,0 days 08:00:00,0 days 17:00:00,53836802,rua 3392,bairro 3392,estado 3392,complemento 3392,1970-01-01 00:00:00,2038-01-01,1
14,1003,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,65807622,rua 2197,bairro 2197,estado 2197,complemento 2197,1970-01-01 00:00:00,2038-01-01,1
15,1136,Restaurante,Pizza Hut,0 days 08:00:00,0 days 17:00:00,6456417,rua 1912,bairro 1912,estado 1912,complemento 1912,1970-01-01 00:00:00,2038-01-01,1
16,1200,Restaurante,Checkers,0 days 08:00:00,0 days 17:00:00,1173439,rua 3915,bairro 3915,estado 3915,complemento 3915,1970-01-01 00:00:00,2038-01-01,1
