Alimento_ID,DATA_ID,ESTABELECIMENTO_ID,CARBOIDRATO,GORDURA_SATURADA,GORDURA_INSATURADA,LACTOSE,PROTEINA
1,5700,9575,11,7,2,15,4
3,2857,2595,20,2,8,15,6
4,2639,4546,17,4,1,1,3
6,4702,2119,8,6,9,10,4
7,3271,2758,11,7,5,12,12
8,5041,1067,18,9,7,13,12
10,3799,2409,4,6,4,3,2
11,3819,3329,13,5,7,4,9
11,5589,265,13,5,7,4,9
11,6480,4222,13,5,7,4,9
13,511,8868,0,4,9,6,8
13,4378,7760,0,4,9,6,8
16,4155,5430,17,2,7,8,19
16,6666,8251,17,2,7,8,19
18,2868,9948,6,7,8,14,18
18,4330,2920,6,7,8,14,18
20,3419,1610,9,0,1,12,4
23,4421,7688,1,3,9,15,10
26,459,6392,19,6,5,6,20
26,3379,3840,19,6,5,6,20
26,5908,7710,19,6,5,6,20
26,6620,7490,19,6,5,6,20
27,397,1687,19,2,1,9,15
27,984,1380,19,2,1,9,15
28,6492,6025,16,8,6,10,14
29,1538,7877,9,7,8,3,17
29,4234,710,9,7,8,3,17
29,5200,1857,9,7,8,3,17
30,3139,8031,13,0,10,5,18
30,4155,7780,13,0,10,5,18
30,5860,6405,13,0,10,5,18
31,2635,8018,5,2,2,12,12
31,3130,4436,5,2,2,12,12
31,5996,8187,5,2,2,12,12
32,4461,4722,3,10,3,13,0
32,6175,8295,3,10,3,13,0
33,458,9714,10,2,9,12,8
33,3353,2714,10,2,9,12,8
34,237,2513,11,8,2,4,20
35,52,5507,15,6,4,15,17
35,2709,8144,15,6,4,15,17
35,5745,935,15,6,4,15,17
36,1895,4065,3,5,0,0,12
36,4671,2726,3,5,0,0,12
38,2030,3183,3,5,6,1,20
39,724,6885,15,6,5,15,2
39,1427,5572,15,6,5,15,2
39,2557,4671,15,6,5,15,2
40,1266,1463,4,0,4,13,17
40,1458,2202,4,0,4,13,17
41,518,6964,9,8,9,1,12
42,1659,4361,18,0,9,6,18
42,5182,3944,18,0,9,6,18
43,408,2153,7,9,8,11,19
43,2167,6843,7,9,8,11,19
43,6761,4152,7,9,8,11,19
45,3219,3896,12,7,10,2,19
45,6625,9960,12,7,10,2,19
45,6688,6105,12,7,10,2,19
47,4739,2844,10,1,3,3,3
47,5295,3932,10,1,3,3,3
48,3183,6205,5,8,3,7,5
49,6075,2475,5,10,5,15,17
50,4040,357,10,1,8,12,7
50,4268,3258,10,1,8,12,7
